城市轨道交通评价系统评价结果报告
标题：,西安市公共交通评价报告
评价时间：,2020-02-01 14:05
评价结果：,良好
评分值：,71.29

详细内容：
准则层详细数据：
指标名,权重值,评分值,评价结果
公交优先发展,0.1964,65.75,优秀
智慧交通,0.1286,52.72,良好
基础设施建设,0.2554,67.29,良好
节能环保,0.0592,67.10,良好
服务水平,0.3605,84.45,良好
指标层详细数据：
指标名,权重值,现状值,单指标评分,单指标评价
公共交通出行分担率,0.07638,38.15,96.300,优秀
公共交通行业驾驶员收入平均水平,0.01349,80.29,65.145,良好
电子支付渗透率,0.04546,85.88,62.640,良好
公交站牌电子化率,0.03805,15.3,22.950,不及格
公共交通来车信息实时预报率,0.03237,73.5,73.500,良好
公交专用车道设置比率,0.07638,12.25,29.400,不及格
城市道路传感终端安装,0.01268,53.4,53.400,及格
公共交通运行补贴制度以及到位率,0.03013,88.83,80.745,良好
平均换乘率,0.04876,22.24,76.680,良好
公共交通正点率,0.08436,94.36,89.040,优秀
公共交通责任事故死亡率,0.01747,1.2,81.000,良好
万人公共交通车辆保有量,0.03415,10.71,53.550,及格
公共交通线网密度,0.12273,3.75,78.750,良好
公共交通站点500米覆盖率,0.07952,86.27,57.513,及格
公共汽电车车均场站面积,0.01899,103,58.857,及格
绿色公共交通车辆比率,0.02772,60.08,75.120,良好
道路绿化率比重,0.00901,42.04,56.053,及格
年空气污染指数低于100的比率,0.01690,51.5,51.500,及格
公共交通车辆尾气降低率,0.00558,42.3,92.300,优秀
早晚高峰时段公共交通平均拥堵度,0.14355,91.74,88.860,优秀
公共交通出行平均速度,0.06633,26.187,75.701,良好
